Timestamp, Pitch, Roll, Heading 
Saturday, 2024/6/15 8:41:56,-2.23,-7.95,229.76
Saturday, 2024/6/15 8:42:2,-2.21,-7.88,228.47
Saturday, 2024/6/15 8:42:8,-2.74,-7.98,229.40
Saturday, 2024/6/15 8:42:14,-2.74,-7.98,227.82
Saturday, 2024/6/15 8:42:20,-2.70,-7.88,231.71
Saturday, 2024/6/15 8:42:26,-2.47,-7.91,231.84
Saturday, 2024/6/15 8:42:32,-2.48,-8.96,232.12
Saturday, 2024/6/15 8:42:38,-2.69,-8.33,233.39
Saturday, 2024/6/15 8:42:44,-2.95,-7.63,230.53
Saturday, 2024/6/15 8:42:50,-2.46,-8.16,231.77
Saturday, 2024/6/15 8:42:56,-2.48,-8.47,230.91
Saturday, 2024/6/15 8:43:2,-2.47,-7.91,232.59
Saturday, 2024/6/15 8:43:8,-2.46,-7.64,227.05
Saturday, 2024/6/15 8:43:14,-2.48,-7.95,230.79
Saturday, 2024/6/15 8:43:20,-2.22,-7.67,230.48
Saturday, 2024/6/15 8:43:26,-2.50,-8.02,234.78
Saturday, 2024/6/15 8:45:20,-3.00,-8.01,231.34
Saturday, 2024/6/15 8:45:26,-2.72,-8.44,229.24
Saturday, 2024/6/15 8:45:32,-2.45,-8.12,230.53
Saturday, 2024/6/15 8:45:38,-2.48,-7.95,237.09
Saturday, 2024/6/15 8:45:44,-2.72,-7.95,230.53
Saturday, 2024/6/15 8:45:50,-2.46,-8.16,232.65
Saturday, 2024/6/15 8:45:56,-2.71,-8.16,230.63
Saturday, 2024/6/15 8:46:2,-2.21,-7.88,233.88
Saturday, 2024/6/15 8:46:8,-2.45,-8.61,229.03
Saturday, 2024/6/15 8:46:14,-1.96,-7.88,230.01
Saturday, 2024/6/15 8:46:20,-2.44,-7.85,229.90
Saturday, 2024/6/15 8:46:26,-2.43,-7.81,229.84
Saturday, 2024/6/15 8:46:32,-2.74,-7.73,228.81
Saturday, 2024/6/15 8:46:38,-2.67,-8.29,231.91
Saturday, 2024/6/15 8:46:44,-2.95,-7.88,274.33
Saturday, 2024/6/15 8:46:50,-2.70,-8.12,273.31
Saturday, 2024/6/15 8:46:56,-2.23,-8.44,276.02
Saturday, 2024/6/15 8:47:2,-2.46,-8.16,274.80
Saturday, 2024/6/15 8:47:8,-2.47,-8.19,276.60
Saturday, 2024/6/15 8:47:14,-2.46,-8.16,276.23
Saturday, 2024/6/15 8:47:20,-2.25,-8.02,273.62
Saturday, 2024/6/15 8:47:26,-2.22,-8.16,274.55
Saturday, 2024/6/15 8:47:32,-2.20,-8.57,274.29
Saturday, 2024/6/15 8:47:38,-2.22,-7.91,275.73
Saturday, 2024/6/15 8:47:44,-2.68,-8.57,274.42
Saturday, 2024/6/15 8:47:50,-2.74,-7.98,274.01
Saturday, 2024/6/15 8:47:56,-2.71,-8.16,272.00
Saturday, 2024/6/15 8:48:2,-2.72,-7.95,271.78
Saturday, 2024/6/15 8:48:8,-2.70,-7.88,272.68
Saturday, 2024/6/15 8:48:14,-2.22,-7.91,272.90
Saturday, 2024/6/15 8:48:20,-2.72,-7.95,274.01
Friday, 2165/165/165 15:48:24,-2.96,-8.15,275.87
Saturday, 2024/6/15 8:48:24,-2.45,-8.12,275.13
Friday, 2165/165/165 45:48:25,-2.68,-8.05,275.15
Saturday, 2024/6/15 8:48:25,-2.21,-8.37,274.91
Saturday, 2024/6/15 8:48:31,-2.71,-8.16,275.44
Saturday, 2024/6/15 8:48:37,-2.34,-7.83,275.60
Saturday, 2024/6/15 8:48:43,-2.22,-8.16,275.27
Saturday, 2024/6/15 8:48:49,-2.47,-7.67,272.41
Saturday, 2024/6/15 8:48:55,-2.70,-8.12,274.86
Saturday, 2024/6/15 8:49:1,-2.49,-7.98,273.96
Saturday, 2024/6/15 8:49:7,-2.47,-8.44,273.26
Saturday, 2024/6/15 8:49:13,-2.93,-8.57,274.13
Saturday, 2024/6/15 8:49:19,-2.72,-7.95,272.85
Saturday, 2024/6/15 8:49:25,-2.71,-7.91,272.87
Saturday, 2024/6/15 8:49:31,-2.71,-8.16,273.76
Saturday, 2024/6/15 8:49:37,-2.16,-7.68,269.78
Saturday, 2024/6/15 8:49:43,-2.21,-8.12,272.43
Saturday, 2024/6/15 8:49:49,-2.72,-8.44,274.64
Saturday, 2024/6/15 8:49:55,-1.96,-7.88,274.20
Saturday, 2024/6/15 8:50:1,-2.72,-8.44,273.31
Saturday, 2024/6/15 8:50:7,-2.46,-8.16,273.51
Saturday, 2024/6/15 8:50:13,-2.75,-8.01,272.20
Saturday, 2024/6/15 8:50:19,-2.48,-7.95,269.78
Saturday, 2024/6/15 8:50:25,-2.20,-8.09,269.56
Saturday, 2024/6/15 8:50:31,-2.48,-7.70,271.33
Saturday, 2024/6/15 8:50:37,-2.23,-7.70,273.31
Saturday, 2024/6/15 8:50:43,-2.22,-7.91,273.73
Saturday, 2024/6/15 8:50:49,-2.00,-8.02,273.56
Saturday, 2024/6/15 8:50:55,-2.22,-8.16,272.67
Saturday, 2024/6/15 8:51:1,-2.48,-7.70,268.24
Saturday, 2024/6/15 8:51:7,-2.46,-8.16,267.15
Saturday, 2024/6/15 8:51:13,-2.49,-7.74,267.37
Saturday, 2024/6/15 8:51:19,-2.75,-8.26,272.66
Saturday, 2024/6/15 8:51:25,-2.69,-8.09,272.23
Saturday, 2024/6/15 8:51:31,-2.69,-8.09,272.41
Saturday, 2024/6/15 8:51:37,-2.47,-7.91,273.95
Saturday, 2024/6/15 8:51:43,-3.19,-8.12,273.30
Saturday, 2024/6/15 8:51:49,-2.47,-7.91,271.11
Saturday, 2024/6/15 8:51:55,-2.71,-7.91,269.56
Saturday, 2024/6/15 8:52:1,-2.23,-8.19,268.89
Saturday, 2024/6/15 8:52:7,-1.72,-8.61,270.66
Saturday, 2024/6/15 8:52:13,-2.25,-8.02,271.76
Saturday, 2024/6/15 8:52:19,-3.20,-8.88,272.91
Saturday, 2024/6/15 8:52:25,-2.70,-8.36,274.43
Saturday, 2024/6/15 8:52:31,-2.24,-7.98,274.01
Saturday, 2024/6/15 8:52:37,-2.71,-7.91,272.63
Saturday, 2024/6/15 8:52:43,-2.22,-8.40,272.63
Saturday, 2024/6/15 8:52:49,-2.24,-7.98,273.54
Saturday, 2024/6/15 8:52:55,-2.21,-8.12,272.91
Saturday, 2024/6/15 8:53:1,-2.46,-8.40,273.73
Saturday, 2024/6/15 8:53:7,-2.45,-8.12,273.11
Saturday, 2024/6/15 8:53:13,-2.71,-7.91,272.45
Saturday, 2024/6/15 8:53:19,-2.48,-7.95,274.43
Saturday, 2024/6/15 8:53:25,-2.21,-7.88,275.23
Saturday, 2024/6/15 8:53:31,-2.71,-8.16,272.64
Saturday, 2024/6/15 8:53:37,-2.49,-8.51,272.42
Saturday, 2024/6/15 8:53:43,-2.70,-8.12,272.46
Saturday, 2024/6/15 8:53:49,-2.93,-8.08,272.00
Saturday, 2024/6/15 8:53:55,-2.71,-8.40,271.32
Saturday, 2024/6/15 8:54:1,-2.49,-7.49,272.67
Saturday, 2024/6/15 8:54:7,-2.00,-7.77,273.09
Saturday, 2024/6/15 8:54:13,-2.72,-8.44,274.23
Saturday, 2024/6/15 8:54:19,-2.21,-8.12,272.45
Saturday, 2024/6/15 8:54:25,-2.69,-8.09,272.43
Saturday, 2024/6/15 8:54:31,-2.47,-8.19,273.30
Saturday, 2024/6/15 8:54:37,-2.96,-8.15,272.63
Saturday, 2024/6/15 8:54:43,-2.45,-8.37,272.87
Saturday, 2024/6/15 8:54:49,-2.69,-8.33,272.66
Saturday, 2024/6/15 8:54:55,-2.22,-7.67,275.78
Saturday, 2024/6/15 8:55:1,-2.47,-7.67,275.51
Saturday, 2024/6/15 8:55:7,-2.46,-8.40,276.39
Saturday, 2024/6/15 8:55:13,-2.96,-8.15,273.12
Saturday, 2024/6/15 8:55:19,-2.46,-8.16,273.37
Saturday, 2024/6/15 8:55:25,-2.24,-8.23,274.01
Saturday, 2024/6/15 8:55:31,-2.71,-8.16,272.63
Saturday, 2024/6/15 8:55:37,-2.96,-7.91,274.23
Saturday, 2024/6/15 8:55:43,-1.98,-7.95,273.99
Saturday, 2024/6/15 8:55:49,-2.51,-8.30,274.42
Saturday, 2024/6/15 8:55:55,-2.22,-7.91,274.86
Saturday, 2024/6/15 8:56:1,-2.24,-7.98,273.51
Saturday, 2024/6/15 8:56:7,-2.48,-7.95,271.54
Saturday, 2024/6/15 8:56:13,-2.48,-7.95,270.89
Saturday, 2024/6/15 8:56:19,-2.72,-8.19,273.11
Saturday, 2024/6/15 8:56:25,-2.96,-8.15,273.54
Saturday, 2024/6/15 8:56:31,-2.47,-8.19,275.23
Saturday, 2024/6/15 8:56:37,-2.23,-8.19,275.49
Saturday, 2024/6/15 8:56:43,-2.50,-8.26,271.98
Saturday, 2024/6/15 8:56:49,-2.45,-8.37,272.22
Saturday, 2024/6/15 8:56:55,-2.22,-7.91,270.44
Saturday, 2024/6/15 8:57:1,-2.72,-8.19,273.31
Saturday, 2024/6/15 8:57:7,-2.24,-7.74,272.85
Saturday, 2024/6/15 8:57:13,-2.73,-8.23,272.67
Saturday, 2024/6/15 8:57:19,-2.44,-8.57,272.85
Saturday, 2024/6/15 8:57:25,-2.50,-8.26,276.39
Saturday, 2024/6/15 8:57:31,-1.99,-7.98,275.04
Saturday, 2024/6/15 8:57:37,-2.48,-7.95,275.07
Saturday, 2024/6/15 8:57:43,-2.23,-7.95,273.77
Saturday, 2024/6/15 8:57:49,-2.45,-8.12,273.30
Saturday, 2024/6/15 8:57:55,-2.47,-7.91,273.06
Saturday, 2024/6/15 8:58:1,-2.70,-8.12,272.85
Saturday, 2024/6/15 8:58:7,-2.21,-7.88,275.95
Saturday, 2024/6/15 8:58:13,-2.24,-8.23,272.87
Saturday, 2024/6/15 8:58:19,-2.48,-7.95,273.09
Saturday, 2024/6/15 8:58:25,-2.72,-8.19,273.08
Saturday, 2024/6/15 8:58:31,-2.95,-8.40,273.55
Saturday, 2024/6/15 8:58:37,-2.47,-8.19,273.11
Saturday, 2024/6/15 8:58:43,-2.21,-8.37,274.01
Saturday, 2024/6/15 8:58:49,-2.71,-7.67,273.73
Saturday, 2024/6/15 8:58:55,-2.44,-8.09,272.20
Saturday, 2024/6/15 8:59:1,-2.49,-8.23,274.42
Saturday, 2024/6/15 8:59:7,-2.47,-8.19,272.87
Saturday, 2024/6/15 8:59:13,-2.26,-7.80,272.88
Saturday, 2024/6/15 8:59:19,-2.22,-8.40,273.77
Saturday, 2024/6/15 8:59:25,-2.72,-7.95,274.20
Saturday, 2024/6/15 8:59:31,-2.47,-8.19,273.80
Saturday, 2024/6/15 8:59:37,-2.22,-8.16,274.42
Saturday, 2024/6/15 8:59:43,-2.71,-7.91,272.65
Saturday, 2024/6/15 8:59:49,-2.74,-7.24,272.19
Saturday, 2024/6/15 8:59:55,-2.97,-8.19,273.54
Saturday, 2024/6/15 9:0:1,-2.73,-8.47,273.76
Saturday, 2024/6/15 9:0:25,-2.49,-7.98,249.02
Saturday, 2024/6/15 9:0:34,-2.97,-8.19,0.00
Saturday, 2024/6/15 9:0:40,-2.97,-7.94,248.79
Saturday, 2024/6/15 9:0:46,-2.97,-7.70,245.31
Saturday, 2024/6/15 9:0:52,-2.69,-8.09,244.67
Saturday, 2024/6/15 9:0:58,-2.98,-8.22,245.95
Saturday, 2024/6/15 9:1:4,-2.46,-7.88,245.38
Saturday, 2024/6/15 9:1:10,-2.50,-8.02,245.19
Saturday, 2024/6/15 9:1:16,-2.96,-7.91,245.45
Saturday, 2024/6/15 9:1:22,-3.21,-8.43,245.12
Monday, 2024/6/17 8:34:32,-1.70,-8.30,295.18
Monday, 2024/6/17 8:34:38,-2.22,-8.16,293.96
Monday, 2024/6/17 8:34:44,-2.21,-8.12,295.65
Monday, 2024/6/17 8:34:50,-2.21,-8.61,293.61
Monday, 2024/6/17 8:34:56,-1.73,-8.44,289.93
Monday, 2024/6/17 8:35:2,-2.20,-8.57,291.04
Monday, 2024/6/17 8:35:8,-1.95,-8.57,288.65
Monday, 2024/6/17 8:35:14,-1.72,-8.37,288.11
Monday, 2024/6/17 8:35:20,-1.72,-8.65,293.15
Monday, 2024/6/17 8:35:26,-2.21,-8.37,293.06
Monday, 2024/6/17 8:35:32,-1.98,-8.44,294.85
Monday, 2024/6/17 8:35:38,-1.48,-8.65,294.85
Monday, 2024/6/17 8:35:44,-2.20,-8.57,292.38
Monday, 2024/6/17 8:35:50,-1.98,-8.20,291.23
Monday, 2024/6/17 8:35:56,-2.22,-8.40,291.36
Monday, 2024/6/17 8:36:2,-1.94,-8.74,291.55
Monday, 2024/6/17 8:36:8,-1.96,-8.61,288.97
Monday, 2024/6/17 8:36:14,-1.48,-8.44,290.67
Monday, 2024/6/17 8:36:20,-1.71,-8.33,289.61
Monday, 2024/6/17 8:36:26,-2.67,-8.53,293.33
Monday, 2024/6/17 8:36:32,-1.96,-8.09,294.27
Monday, 2024/6/17 8:36:38,-1.98,-7.70,294.13
Monday, 2024/6/17 8:36:44,-1.72,-8.65,295.16
Monday, 2024/6/17 8:36:50,-1.74,-8.23,292.65
Monday, 2024/6/17 8:36:56,-1.95,-8.57,294.39
Monday, 2024/6/17 8:37:2,-1.73,-8.69,291.99
Monday, 2024/6/17 8:37:8,-2.20,-8.57,293.79
Monday, 2024/6/17 8:37:14,-2.19,-8.06,291.61
Monday, 2024/6/17 8:37:20,-2.21,-8.37,291.16
Monday, 2024/6/17 8:37:26,-2.23,-8.19,292.06
Monday, 2024/6/17 8:37:32,-1.72,-8.41,293.57
Monday, 2024/6/17 8:37:38,-1.73,-8.44,295.94
Monday, 2024/6/17 8:37:44,-1.72,-8.61,297.35
Monday, 2024/6/17 8:37:50,-2.22,-8.40,293.61
Monday, 2024/6/17 8:37:56,-1.47,-8.37,293.51
Monday, 2024/6/17 8:38:2,-1.72,-8.61,293.61
Monday, 2024/6/17 8:38:8,-1.49,-8.20,294.30
Monday, 2024/6/17 8:38:14,-2.68,-8.05,295.31
Monday, 2024/6/17 8:38:20,-2.18,-8.26,290.92
Monday, 2024/6/17 8:38:26,-2.43,-8.54,292.75
Monday, 2024/6/17 8:38:32,-2.22,-8.16,292.06
Monday, 2024/6/17 8:38:38,-2.22,-8.65,290.52
